barcode,name,manufacturld,description,unitQty,Quantity,bIsWeighted,QtyInPackage,ItemPrice,AmountInStock
7290000493183,רוטב פטריות לבשר-אבקה30ג,293,רוטב פטריות,גרמים,30,0,0,4,93
7290000497044,לחם ברמן אקטיב 750 גרם,543,לחם ברמן אקטיב,גרמים,750,0,0,12.9,20
7290000497112,לחם פרוס אחיד 750גר 207,543,לחם פרוס אחיד,גרמים,750,0,0,6.9,21
7290000497204,פיתות בשקית 100*5 גרם,543,פיתות ברמן 5 יח,גרמים,500,0,0,7.8,47
7290000497228,לחמניות רגילות 75*6 גרם,543,6 לחמניות בשקית,גרמים,450,0,0,8.9,71
7290000497426,לחם ברמן קל לענין 500גרם,543,לחם ברמן קל,גרמים,500,0,0,13.9,15
7290000497570,לחם דגני קלות פרוס 500גר,543,לחם דגני קלות,גרמים,500,0,0,13.9,63
7290000498003,לחם E-FREE קמח חיטה750ג,648,לחם מקמח חיטה,גרמים,750,0,1,15.5,69
7290000498034,לחם E-FREEקמח כוסמי750ג,648,לחם מקמח כוסמין,גרמים,750,0,1,15.5,55
7290000504025,סוכרזית 300 טבליות פטריה,338,סוכרזית פטריה,גרמים,24,0,0,8.9,72
7290000504049,סוכרזית 1200 טבליות,338,סוכרזית טבליות,גרמים,98,0,0,19.9,92
7290000504261,"כמו סוכר"" אבקה ממתיק75ג",338,כמו סוכר,גרמים,75,0,0,25.2,48
7290000504360,טלק ריחני אזורה לתינוק80,338,טלק ריחני אזורה,גרמים,80,0,0,8.9,62
7290000506111,חזרת פיאו 400 גרם,864,חזרת פיאו,גרמים,400,0,0,11.9,67
7290000518176,מתוק וקל ענק 250 שקיות,626,מתוק וקל ענק,גרמים,250,0,0,19.9,50
7290000518220,סוכרה דיאט 100 שקיות,743,סוכרה דיאט,גרמים,80,0,1,25.9,48
7290000518251,מתוק וקל זהב 100 שקיות,626,מתוק וקל זהב,יחידה,1,0,0,11.9,92
7290000521008,יין אדום יבש של סגל750מל,606,יין סגל אדום,מיליליטרים,750,0,0,19.9,17
7290000522272,"שמנת לקפה 10% 500מ""ל",680,שמנת לקפה,מיליליטרים,500,0,0,8.9,7
7290000523125,מלח ים יבש 250 גרם,1063,מלח ים יבש,גרמים,250,0,0,5.9,88
7290000523224,מלח ים דק 500 גרם,1063,מלח ים דק,גרמים,500,0,0,7.9,16
7290000523514,מלח יבש דל נתרן 250 גרם,1063,מלח דל נתרן,גרמים,250,0,0,10.5,18
7290000523521,מלח ים מועשר ביוד 250גרם,1063,מלח ים מועשר,גרמים,250,0,0,5.9,44
7290000523804,"מלח הארץ עדין צנצנת 1ק""ג",1063,מלח הארץ עדין,קילוגרמים,1,0,0,7.2,65
7290000523811,"מלח הארץ גס צנצנת 1 ק""ג",1063,מלח הארץ גס,קילוגרמים,1,0,0,7.2,95
7290000525969,מיץ תפוזים סחוט 1 ליטר,402,מיץ תפוזים סחוט,ליטרים,1,0,0,14.9,79
7290000530024,נקניק תה מעושן רחב במשקל,484,נקניק תה מעושן,קילוגרמים,0,1,0,50,12
7290000530048,סלמי פפרוני במשקל,484,סלמי פפרוני,גרמים,0,1,0,59,24
7290000530062,נקניק מעושן איטלקי במשקל,484,נקניק איטלקי,קילוגרמים,0,1,0,80,84
7290000530086,נקניק מעושן7000- 600 גרם,484,נקניק מעושן,גרמים,600,0,0,28.9,48
7290000530109,קבנוס בואקום 180X2 גרם,484,זוג קבנוס בואקום,גרמים,360,0,0,24.9,88
7290000530116,נקניק סלמי בשן 470 גרם,484,נקניק סלמי בשן,גרמים,470,0,0,24.9,98
7290000530260,נקניק מרטדלה רחב במשקל,484,נקניק מרטדלה,קילוגרמים,0,1,0,38,25
7290000530369,גולן ח.הודו מעוש.שלם משק,484,גולן חזה הודו,קילוגרמים,0,1,0,85,33
7290000530413,המבורגר זהב 400 גרם,484,המבורגר זהב,גרמים,400,0,0,19.9,91
7290000530703,פסטרמה חרמון+תה 400+400ג,484,מארז חרמון+תה,גרמים,800,0,0,26.9,58
7290000531601,סטייק בורגר 400גר',484,סטייק בורגר 00,גרמים,400,0,0,19.9,15
7290000532400,חזה הודו ברביקיו במשקל,484,חזה הודו ברבקי,קילוגרמים,0,1,0,85,1
7290000533353,"בצק עלים 1 ק""ג",484,בצק עלים,גרמים,1000,0,0,15.9,62
7290000536323,קופסת אחסון פסטרמה 1 יחי,484,קופסת אחסון פסטר,יחידה,1,0,1,4.9,6
7290000536743,קריספי סטיקס תירס 500גרם,484,קריספי סטיקסתירס,גרמים,500,0,0,17.9,47
7290000537566,נקניקיות עוף 400 גרם,484,נקניקיות עוף,גרמים,400,0,0,10,14
7290000537603,"נקניקיות עוף טריות 1 ק""ג",484,נקניקיות עוף,קילוגרמים,1,0,0,25.9,32
7290000551067,צלי כתף מס5' מוכשר קפוא,1012,צלי כתף מוכשר,קילוגרמים,0,1,0,59.9,20
7290000552118,נקניקיות מרגז גריל 400גר,527,נקניקיות מרגז,גרמים,400,0,0,20.9,1
7290000552569,סטייק בורגר 400 גרם,526,סטייקבורגר,גרמים,400,0,0,20.9,47
7290000552927,טחון עוף 500 גרם,526,טחון עוף,גרמים,500,0,0,14.9,31
7290000552989,בשר טחון מובחר 500 גרם,526,בשר טחון מובחר,גרמים,500,0,0,27.9,17
7290000554402,מלבי 160 גרם,700,מלבי,גרמים,160,0,0,5.6,93
