PriceUpdateDate;ItemCode;ItemType;ItemName;ManufacturerName;ManufactureCountry;ManufacturerItemDescription;UnitQty;Quantity;bIsWeighted;UnitOfMeasure;QtyInPackage;ItemPrice;UnitOfMeasurePrice;AllowDiscount;ItemStatus
2019-07-15 13:59;7290107944366;1;רבע לשבע לבן 120 גרם;"הגביע מוצרי וופלים בע""\מ";IL;רבע לשבע לבן;גרמים;120.00;0;100 גרם;1;10.90;9.08;1;1
2018-02-20 07:22;7290107944472;1;סימפוניה שום שמיר5% 200ג;"שטראוס בריאות בע""\מ";IL;גבינת סימפוניה;גרמים;200.00;0;100 גרם;1;11.00;5.50;1;1
2021-03-01 06:30;7290107947480;1;אנרג'י מצופה שוקולד24*6ג;"שטראוס גרופ בע""\מ";IL;חטיפי אנרג'י 6יח;גרמים;144.00;0;100 גרם;1;10.00;6.95;1;1
2016-12-20 10:18;7290107950190;1;מעדן דיאט שוקולד מריר130;"שטראוס גרופ בע""\מ";IL;מעדן דיאט שוקולד;גרמים;130.00;0;100 גרם;1;3.30;2.54;1;1
2016-12-20 10:18;7290107950206;1;מעדן דיאט שוקולד 130 גרם;"שטראוס גרופ בע""\מ";IL;מעדן דיאט שוקולד;גרמים;130.00;0;100 גרם;1;3.30;2.54;1;1
2017-01-24 14:41;7290107951104;1;בפלות בטעם שוקולד 200גרם;"א.ג. גילרו בע""\מ";IL;בפלות טעם שוקולד;גרמים;200.00;0;100 גרם;1;4.90;2.45;1;1
2017-01-24 14:41;7290107951111;1;בפלות בטעם לימון 200 גרם;"א.ג. גילרו בע""\מ";IL;בפלות בטעם לימון;גרמים;200.00;0;100 גרם;1;4.90;2.45;1;1
2017-08-29 08:29;7290107951395;1;משקה פרו וניל יטבתה250מל;מחלבת יטבתה;IL;משקה פרו וניל;מיליליטרים;250.00;0;"100 מ""ל";1;5.00;2.00;1;1
2017-09-10 08:10;7290107951548;1;שוקולד בלונדי שקדים100ג;"שטראוס גרופ בע""\מ";IL;שוקולד בלונדי;גרמים;100.00;0;100 גרם;1;7.60;7.60;1;1
2017-09-10 08:10;7290107951623;1;שוק.בלונדי קרמל ומלח100ג;"שטראוס גרופ בע""\מ";IL;שוקולד בלונדי;גרמים;100.00;0;100 גרם;1;7.60;7.60;1;1
2019-01-08 09:18;7290107951630;1;שוק.בלונדי שבבי קוקוס100;"שטראוס גרופ בע""\מ";IL;שוקולד בלונדי;גרמים;100.00;0;100 גרם;1;7.60;7.60;1;1
2017-11-07 09:38;7290107953559;1;קפה טורקי לדרך 24 * 7 גר;שטראוס קפה בי.וי.;IL;קפה טורקי לדרך;גרמים;168.00;0;100 גרם;1;18.90;11.25;1;1
2017-07-26 08:31;7290107954457;1;בראוניז פסק זמן 380 גרם;"שטראוס גרופ בע""\מ";IL;בראוניז פסק זמן;גרמים;380.00;0;100 גרם;1;16.00;4.21;1;1
2021-03-01 04:10;7290107955638;1;בראוניז טורטית כשלפ380ג;"שטראוס גרופ בע""\מ";IL;עוגת בראוניז;גרמים;380.00;0;100 גרם;1;10.00;2.63;1;1
2018-01-23 07:39;7290107956642;1;"תרסיס שמן זית 150 מ""ל";סובנה;ES;תרסיס שמן זית;מיליליטרים;150.00;0;"100 מ""ל";1;17.90;11.93;1;1
2017-12-03 13:22;7290107956833;1;עוגיות שוקוצ'יפס חלב180ג;"שטראוס גרופ בע""\מ";IL;עוגיות שוקוצ'יפס;גרמים;180.00;0;100 גרם;1;8.90;4.94;1;1
2018-02-20 07:22;7290107956901;1;קפסולות אספרסו ט.אגוז50ג;שטראוס קפה בי.וי.;IL;קפסולות אספרסו;גרמים;50.00;0;100 גרם;1;16.50;33.00;1;1
2018-10-21 08:58;7290107956925;1;קפסולות אוגנדה 13 50 גרם;שטראוס קפה בי.וי.;IL;קפסולות קפה;גרמים;50.00;0;100 גרם;1;16.50;33.00;1;1
2018-02-20 07:20;7290107956932;1;קפסולות אינדונזיה מס12;שטראוס קפה בי.וי.;IL;קפסולות אינדונזי;גרמים;50.00;0;100 גרם;1;16.50;33.00;1;1
2020-09-22 06:30;7290107957991;1;מילקי קייק מיניס 144 גרם;בובארד איטליה אס.פי.איי;IT;מילקי קייק מיניס;גרמים;144.00;0;100 גרם;1;13.90;9.65;1;1
2018-02-20 07:22;7290107958035;1;דנונה מתיקות מעודנת150*8;"שטראוס בריאות בע""\מ";IL;דנונה מעודן 8 יח;קילוגרמים;1.20;0;"ק""ג";1;18.50;15.42;1;1
2020-10-23 01:27;7290107958523;1;רבע לשבע מוס חלבה 100גרם;"הגביע מוצרי וופלים בע""\מ";IL;רבע לשבע מוס;גרמים;100.00;0;100 גרם;1;14.90;14.90;1;1
2020-09-22 06:30;7290107958578;1;אצבעות שוק. ק.חלב+עדשי85;"שטראוס גרופ בע""\מ";IL;אצבעות שוקולד;גרמים;96.00;0;100 גרם;1;6.90;7.19;1;1
2018-01-02 06:34;7290107958639;1;מטבוחה מרוקאית חריפה400ג;"שטראוס גרופ בע""\מ";IL;מטבוחה;גרמים;400.00;0;100 גרם;1;15.90;3.98;1;1
2020-09-22 06:30;7290107958677;1;אצבעות שוקולד קרם חלב ו;"שטראוס גרופ בע""\מ";IL;אצבעות שוקולד;גרמים;96.00;0;100 גרם;1;6.90;7.19;1;1
2019-02-01 06:43;7290107959032;1;מעדן SOOM שומשום נוגט125;"שטראוס גרופ בע""\מ";IL;מעדן שומשום SOOM;גרמים;125.00;0;100 גרם;1;4.20;3.36;1;1
2019-02-01 06:43;7290107959049;1;מעדן SOOM שומשום וניל125;"שטראוס גרופ בע""\מ";IL;מעדן שומשום SOOM;גרמים;125.00;0;100 גרם;1;4.20;3.36;1;1
2019-02-01 06:43;7290107959056;1;מעדן SOOMשומשום שוק125.ג;"שטראוס גרופ בע""\מ";IL;מעדן שומשום SOOM;גרמים;125.00;0;100 גרם;1;4.20;3.36;1;1
2021-02-28 11:10;7290107971751;1;"מי פה טוטל כחול 500 מ""ל";קולגייט- פלמוליב;PL;מי פה קולגייט;מיליליטרים;500.00;0;"100 מ""ל";1;19.90;3.98;1;1
2020-11-17 11:13;7290107973014;1;סב.ידיים פלמוליב דבש300מ;קולגייט-פלמוליב;TR;סבון ידיים;מיליליטרים;300.00;0;"100 מ""ל";1;7.90;2.63;1;1
2016-10-20 09:55;7290107973809;1;קוביות עגבניות 400 גרם;פראנו אריקו ופיגלי ס.פ.א;IT;קוביות עגבניות;גרמים;400.00;0;100 גרם;1;5.90;1.48;1;1
2017-06-05 10:28;7290107974073;1;עלי טורטיה קמח חיטהן320ג;"ש. שסטוביץ בע""\מ";DE;עלי טורטיה;גרמים;320.00;0;100 גרם;1;10.90;3.41;1;1
2021-03-01 05:30;7290107974646;1;מרידול מי פה רעננה 400 מ;קולגייט פלמוליב;PL;מרידול מי פה;מיליליטרים;400.00;0;"100 מ""ל";1;24.90;6.23;1;1
2021-03-01 04:10;7290107974806;1;"אורז בסמטי מאסטר שף 1ק""ג";"ש. שסטוביץ בע""\מ";IN;אורז בסמטי;קילוגרמים;1.00;0;"ק""ג";1;10.00;10.00;1;1
2021-03-01 04:10;7290107974813;1;"אורז יסמין מאסטר שף1ק""ג";טאומי אינטרפרייד;TH;אורז יסמין;קילוגרמים;1.00;0;"ק""ג";1;8.90;8.90;1;1
2017-07-26 08:31;7290107978323;1;איטריות דקיקות 400 גרם;פי.פי.איג' ארטלקס;PL;איטריות דקיקות;גרמים;400.00;0;100 גרם;1;5.90;1.48;1;1
2017-07-26 08:31;7290107978347;1;איטריות בינוניות 400 גרם;פי.פי.איג' ארטלקס;PL;איטריות בינוניות;גרמים;400.00;0;100 גרם;1;5.90;1.48;1;1
2021-02-28 11:10;7290107978637;1;"משחת מרידול 75 מ""ל";קולגייט פלמוליב;PL;משחת מרידול;מיליליטרים;75.00;0;"100 מ""ל";1;14.90;19.87;1;1
2021-02-28 09:30;7290108200201;1;מסיר כתמים אבקת קליה 1.3;רקיט בנקיזר;IT;וניש גולד אבקה;קילוגרמים;1.35;0;"ק""ג";1;30.00;22.22;1;1
